Mariposa,2017-12-31,2018-01-07,16
Katie's Kids,2017-12-31,2018-01-07,0
PlayCare,2017-12-31,2018-01-07,0
Jenifer's Joyous One's,2017-12-31,2018-01-07,0
Starlight Learning Center,2017-12-31,2018-01-07,0
Zasty's,2017-12-31,2018-01-07,0
Teddy Bear Totland,2017-12-31,2018-01-07,0
Holly's Little Red Wagon,2017-12-31,2018-01-07,0
Mariposa,2018-01-07,2018-01-14,75
Katie's Kids,2018-01-07,2018-01-14,0
PlayCare,2018-01-07,2018-01-14,0
Jenifer's Joyous One's,2018-01-07,2018-01-14,0
Starlight Learning Center,2018-01-07,2018-01-14,0
Zasty's,2018-01-07,2018-01-14,0
Teddy Bear Totland,2018-01-07,2018-01-14,0
Holly's Little Red Wagon,2018-01-07,2018-01-14,0
Mariposa,2018-01-14,2018-01-21,163
Katie's Kids,2018-01-14,2018-01-21,68
PlayCare,2018-01-14,2018-01-21,0
Jenifer's Joyous One's,2018-01-14,2018-01-21,0
Starlight Learning Center,2018-01-14,2018-01-21,0
Zasty's,2018-01-14,2018-01-21,0
Teddy Bear Totland,2018-01-14,2018-01-21,0
Holly's Little Red Wagon,2018-01-14,2018-01-21,0
Mariposa,2018-01-21,2018-01-28,104
Katie's Kids,2018-01-21,2018-01-28,57
PlayCare,2018-01-21,2018-01-28,0
Jenifer's Joyous One's,2018-01-21,2018-01-28,0
Starlight Learning Center,2018-01-21,2018-01-28,0
Zasty's,2018-01-21,2018-01-28,0
Teddy Bear Totland,2018-01-21,2018-01-28,0
Holly's Little Red Wagon,2018-01-21,2018-01-28,0
Mariposa,2018-01-28,2018-02-04,122
Katie's Kids,2018-01-28,2018-02-04,217
PlayCare,2018-01-28,2018-02-04,0
Jenifer's Joyous One's,2018-01-28,2018-02-04,0
Starlight Learning Center,2018-01-28,2018-02-04,0
Zasty's,2018-01-28,2018-02-04,0
Teddy Bear Totland,2018-01-28,2018-02-04,0
Holly's Little Red Wagon,2018-01-28,2018-02-04,0
Mariposa,2018-02-04,2018-02-11,108
Katie's Kids,2018-02-04,2018-02-11,112
PlayCare,2018-02-04,2018-02-11,0
Jenifer's Joyous One's,2018-02-04,2018-02-11,0
Starlight Learning Center,2018-02-04,2018-02-11,0
Zasty's,2018-02-04,2018-02-11,0
Teddy Bear Totland,2018-02-04,2018-02-11,0
Holly's Little Red Wagon,2018-02-04,2018-02-11,0
Mariposa,2018-02-11,2018-02-18,346
Katie's Kids,2018-02-11,2018-02-18,241
PlayCare,2018-02-11,2018-02-18,14
Jenifer's Joyous One's,2018-02-11,2018-02-18,0
Starlight Learning Center,2018-02-11,2018-02-18,0
Zasty's,2018-02-11,2018-02-18,0
Teddy Bear Totland,2018-02-11,2018-02-18,0
Holly's Little Red Wagon,2018-02-11,2018-02-18,0
Mariposa,2018-02-18,2018-02-25,24
Katie's Kids,2018-02-18,2018-02-25,161
PlayCare,2018-02-18,2018-02-25,183
Jenifer's Joyous One's,2018-02-18,2018-02-25,0
Starlight Learning Center,2018-02-18,2018-02-25,0
Zasty's,2018-02-18,2018-02-25,0
Teddy Bear Totland,2018-02-18,2018-02-25,0
Holly's Little Red Wagon,2018-02-18,2018-02-25,0
Mariposa,2018-02-25,2018-03-04,66
Katie's Kids,2018-02-25,2018-03-04,197
PlayCare,2018-02-25,2018-03-04,330
Jenifer's Joyous One's,2018-02-25,2018-03-04,0
Starlight Learning Center,2018-02-25,2018-03-04,0
Zasty's,2018-02-25,2018-03-04,0
Teddy Bear Totland,2018-02-25,2018-03-04,0
Holly's Little Red Wagon,2018-02-25,2018-03-04,0
Mariposa,2018-03-04,2018-03-11,321
Katie's Kids,2018-03-04,2018-03-11,180
PlayCare,2018-03-04,2018-03-11,304
Jenifer's Joyous One's,2018-03-04,2018-03-11,0
Starlight Learning Center,2018-03-04,2018-03-11,0
Zasty's,2018-03-04,2018-03-11,0
Teddy Bear Totland,2018-03-04,2018-03-11,0
Holly's Little Red Wagon,2018-03-04,2018-03-11,0
Mariposa,2018-03-11,2018-03-18,471
Katie's Kids,2018-03-11,2018-03-18,215
PlayCare,2018-03-11,2018-03-18,216
Jenifer's Joyous One's,2018-03-11,2018-03-18,0
Starlight Learning Center,2018-03-11,2018-03-18,0
Zasty's,2018-03-11,2018-03-18,0
Teddy Bear Totland,2018-03-11,2018-03-18,0
Holly's Little Red Wagon,2018-03-11,2018-03-18,0
Mariposa,2018-03-18,2018-03-25,328
Katie's Kids,2018-03-18,2018-03-25,210
PlayCare,2018-03-18,2018-03-25,303
Jenifer's Joyous One's,2018-03-18,2018-03-25,0
Starlight Learning Center,2018-03-18,2018-03-25,0
Zasty's,2018-03-18,2018-03-25,0
Teddy Bear Totland,2018-03-18,2018-03-25,0
Holly's Little Red Wagon,2018-03-18,2018-03-25,0
Mariposa,2018-03-25,2018-04-01,103
